2021-07-23 13:49:19 status half-configured base-files:amd64 10.1ubuntu2
2021-07-23 13:49:19 status unpacked base-files:amd64 10.1ubuntu2
2021-07-23 13:49:19 status half-installed base-files:amd64 10.1ubuntu2
2021-07-23 13:49:19 status half-installed base-files:amd64 10.1ubuntu2
2021-07-23 13:49:19 status unpacked base-files:amd64 10.1ubuntu2
2021-07-23 13:49:19 status unpacked base-files:amd64 10.1ubuntu2
2021-07-23 13:49:19 upgrade base-passwd:amd64 3.5.44 3.5.44
2021-07-23 13:49:19 status half-configured base-passwd:amd64 3.5.44
2021-07-23 13:49:19 status unpacked base-passwd:amd64 3.5.44
2021-07-23 13:49:19 status half-installed base-passwd:amd64 3.5.44
2021-07-23 13:49:19 status half-installed base-passwd:amd64 3.5.44
2021-07-23 13:49:19 status unpacked base-passwd:amd64 3.5.44
2021-07-23 13:49:19 status unpacked base-passwd:amd64 3.5.44
2021-07-23 13:49:19 install bash:amd64 <none> 4.4.18-2ubuntu1
2021-07-23 13:49:19 status half-installed bash:amd64 4.4.18-2ubuntu1
2021-07-23 13:49:19 status unpacked bash:amd64 4.4.18-2ubuntu1
2021-07-23 13:49:19 status unpacked bash:amd64 4.4.18-2ubuntu1
2021-07-23 13:49:20 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2021-07-23 13:49:20 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2021-07-23 13:49:20 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2021-07-23 13:49:20 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2021-07-23 13:49:20 install coreutils:amd64 <none> 8.28-1ubuntu1
2021-07-23 13:49:20 status half-installed coreutils:amd64 8.28-1ubuntu1
2021-07-23 13:49:20 status unpacked coreutils:amd64 8.28-1ubuntu1
2021-07-23 13:49:20 status unpacked coreutils:amd64 8.28-1ubuntu1
2021-07-23 13:49:20 install dash:amd64 <none> 0.5.8-2.10
2021-07-23 13:49:20 status half-installed dash:amd64 0.5.8-2.10
2021-07-23 13:49:20 status unpacked dash:amd64 0.5.8-2.10
2021-07-23 13:49:20 status unpacked dash:amd64 0.5.8-2.10
2021-07-23 13:49:20 install debconf:all <none> 1.5.66
2021-07-23 13:49:20 status half-installed debconf:all 1.5.66
2021-07-23 13:49:20 status unpacked debconf:all 1.5.66
2021-07-23 13:49:20 status unpacked debconf:all 1.5.66
2021-07-23 13:49:20 install debianutils:amd64 <none> 4.8.4
2021-07-23 13:49:20 status half-installed debianutils:amd64 4.8.4
2021-07-23 13:49:20 status unpacked debianutils:amd64 4.8.4
2021-07-23 13:49:20 status unpacked debianutils:amd64 4.8.4
2021-07-23 13:49:20 install diffutils:amd64 <none> 1:3.6-1
2021-07-23 13:49:20 status half-installed diffutils:amd64 1:3.6-1
2021-07-23 13:49:20 status unpacked diffutils:amd64 1:3.6-1
2021-07-23 13:49:20 status unpacked diffutils:amd64 1:3.6-1
2021-07-23 13:49:20 upgrade dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2021-07-23 13:49:20 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2021-07-23 13:49:20 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2021-07-23 13:49:20 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2021-07-23 13:49:20 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2021-07-23 13:49:20 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2021-07-23 13:49:20 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2021-07-23 13:49:20 install e2fsprogs:amd64 <none> 1.44.1-1
2021-07-23 13:49:20 status half-installed e2fsprogs:amd64 1.44.1-1
2021-07-23 13:49:20 status unpacked e2fsprogs:amd64 1.44.1-1
2021-07-23 13:49:20 status unpacked e2fsprogs:amd64 1.44.1-1
2021-07-23 13:49:20 install fdisk:amd64 <none> 2.31.1-0.4ubuntu3
2021-07-23 13:49:20 status half-installed fdisk:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:20 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:20 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:20 install findutils:amd64 <none> 4.6.0+git+20170828-2
2021-07-23 13:49:20 status half-installed findutils:amd64 4.6.0+git+20170828-2
2021-07-23 13:49:20 status unpacked findutils:amd64 4.6.0+git+20170828-2
2021-07-23 13:49:20 status unpacked findutils:amd64 4.6.0+git+20170828-2
2021-07-23 13:49:20 install gcc-8-base:amd64 <none> 8-20180414-1ubuntu2
2021-07-23 13:49:20 status half-installed gcc-8-base:amd64 8-20180414-1ubuntu2
2021-07-23 13:49:20 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2021-07-23 13:49:20 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2021-07-23 13:49:20 install grep:amd64 <none> 3.1-2
2021-07-23 13:49:20 status half-installed grep:amd64 3.1-2
2021-07-23 13:49:20 status unpacked grep:amd64 3.1-2
2021-07-23 13:49:20 status unpacked grep:amd64 3.1-2
2021-07-23 13:49:20 install gzip:amd64 <none> 1.6-5ubuntu1
2021-07-23 13:49:20 status half-installed gzip:amd64 1.6-5ubuntu1
2021-07-23 13:49:20 status unpacked gzip:amd64 1.6-5ubuntu1
2021-07-23 13:49:20 status unpacked gzip:amd64 1.6-5ubuntu1
2021-07-23 13:49:20 install hostname:amd64 <none> 3.20
2021-07-23 13:49:20 status half-installed hostname:amd64 3.20
2021-07-23 13:49:20 status unpacked hostname:amd64 3.20
2021-07-23 13:49:20 status unpacked hostname:amd64 3.20
2021-07-23 13:49:20 install init-system-helpers:all <none> 1.51
2021-07-23 13:49:20 status half-installed init-system-helpers:all 1.51
2021-07-23 13:49:20 status unpacked init-system-helpers:all 1.51
2021-07-23 13:49:20 status unpacked init-system-helpers:all 1.51
2021-07-23 13:49:20 install libacl1:amd64 <none> 2.2.52-3build1
2021-07-23 13:49:20 status half-installed libacl1:amd64 2.2.52-3build1
2021-07-23 13:49:20 status unpacked libacl1:amd64 2.2.52-3build1
2021-07-23 13:49:20 status unpacked libacl1:amd64 2.2.52-3build1
2021-07-23 13:49:20 install libattr1:amd64 <none> 1:2.4.47-2build1
2021-07-23 13:49:20 status half-installed libattr1:amd64 1:2.4.47-2build1
2021-07-23 13:49:20 status unpacked libattr1:amd64 1:2.4.47-2build1
2021-07-23 13:49:20 status unpacked libattr1:amd64 1:2.4.47-2build1
2021-07-23 13:49:20 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2021-07-23 13:49:20 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2021-07-23 13:49:20 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2021-07-23 13:49:20 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2021-07-23 13:49:20 install libaudit1:amd64 <none> 1:2.8.2-1ubuntu1
2021-07-23 13:49:20 status half-installed libaudit1:amd64 1:2.8.2-1ubuntu1
2021-07-23 13:49:20 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2021-07-23 13:49:20 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2021-07-23 13:49:20 install libblkid1:amd64 <none> 2.31.1-0.4ubuntu3
2021-07-23 13:49:20 status half-installed libblkid1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:20 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:20 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
